"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Continue Shopping","Continue Shopping"
"Custom Thank You Page","Custom Thank You Page"
General,General
"Enable module","Enable module"
"Order Details","Order Details"
Enable,Enable
Title,Title
Subtitle,Subtitle
Description,Description
"Show 'Continue Shopping'","Show 'Continue Shopping'"
"Sort Order","Sort Order"
"Create Account","Create Account"
"Email Label","Email Label"
"Message displayed after account creation","Message displayed after account creation"
"Newsletter Subscribe","Newsletter Subscribe"
"When enabled, if user not subscribed to newsletter, show option to subscribe to newsletter.","When enabled, if user not subscribed to newsletter, show option to subscribe to newsletter."
"Custom Block","Custom Block"
"Select Block","Select Block"
