metal_bom_variant,item_code,purity,color,indian_rate_gram,usa_rate_gram
AG-22-YELLOW,Gold,22,Yellow,2950,3540
AG-18-YELLOW,Gold,18,Yellow,2420,2904
AG-18-ROSE,Gold,18,Rose,2420,2904
AG-24-YELLOW,Gold,24,Yellow,3225,3870
AG-14-YELLOW,Gold,14,Yellow,1880,2256
AG18WHITE,Gold,18,White,2420,2904
AG-18-WHITE,Gold,18,White,2420,2904
GL-24-YELLOW,Gold,24,Yellow,3225,3870
AG-22-WHITE,Gold,22,White,2950,3540
AG22YELLOW,Gold,22,Yellow,2950,3540
GL-100.00-YELLOW,Gold,24,Yellow,3225,3870
GL-100-YELLOW,Gold,24,Yellow,3225,3870
AG18YELLOW,Gold,18,Yellow,2420,2904
AG18ROSE,Gold,18,Rose,2420,2904
AG18ROSE-WHITE,Gold,18,Rose/White,2420,2904
AG14ROSE,Gold,14,Rose,1880,2256
PT95WHITE,Platinum,95,White,4000,4800
SIL92WHITE,Silver,92,White,350,420
SIL-92-WHITE,Silver,92,White,350,420
SIL-75.00-WHITE,Silver,75,White,250,300
SIL-925-WHITE,Silver,92,White,350,420
