karat_color,metal_type,karat,metal_color
"22,YELLOW",Gold,22,Yellow
"18,YELLOW",Gold,18,Yellow
"18,ROSE",Gold,18,Rose
"22,WHITE",Gold,22,White
"24,YELLOW",Gold,24,Yellow
"18,WHITE",Gold,18,White
"18,WHITE/18,YELLOW",Gold,18,White/Yellow
"18,YELLOW/18,ROSE",Gold,18,Yellow/Rose
"18,YELLOW/22,YELLOW",Gold,18/22,Yellow
"22,YELLOW/18,YELLOW",Gold,22/18,Yellow
"24,YELLOW/18,YELLOW",Gold,24/18,Yellow
"14,YELLOW",Gold,14,Yellow
"100.00,YELLOW",Gold,24,Yellow
"100,YELLOW",Gold,24,Yellow
"18,ROSE/18,YELLOW",Gold,18,Rose/Yellow
"18,ROSE-WHITE",Gold,18,Rose/White
"14,ROSE",Gold,14,Rose
"14,WHITE",Gold,14,White
"14,YELLOW/925,WHITE",Gold/Silver,14/92,Yellow/White
"18,YELLOW/925,WHITE",Gold/Silver,18/92,Yellow/White
"95.00,WHITE",Platinum,95,White
"95.00,YELLOW",Platinum,95,Yellow
"92,WHITE",Silver,92,White
"75,WHITE",Silver,74,White
"80,WHITE",Silver,80,White
"925,WHITE/14,YELLOW",Silver/Gold,92/14,White/Yellow
"75.00,WHITE/100,YELLOW",Silver/Gold,75/24,White/Yellow
"925,WHITE/18,YELLOW",Silver/Gold,92/18,White/Yellow
